Image,Betelgeuse_X,Betelgeuse_Y,Bellatrix_X,Bellatrix_Y,Distance_Pixels
IMG20250104211035_BURST030.jpg,342.500352,14.49984,414.999552,559.0016,513.6309721991795
IMG20250104211035_BURST032.jpg,349.999104,27.500544,420.501504,576.0,515.3655180553067
IMG20250104211035_BURST033.jpg,349.999104,26.001408,424.998912,588.00128,511.7719915935114
IMG20250104211035_BURST034.jpg,352.499712,46.501888,428.00025600000004,602.001408,512.7033307688436
IMG20250104211035_BURST035.jpg,360.001536,59.498496,426.00038399999994,605.499392,510.481875174354
IMG20250104211035_BURST036.jpg,357.99859200000003,63.000576,430.00012799999996,614.998016,512.584726726302
IMG20250104211035_BURST037.jpg,359.00006399999995,71.000064,428.500992,628.498432,508.86409844694606
IMG20250104211035_BURST038.jpg,362.99980800000003,78.999552,435.99974399999996,629.501952,509.6630634143554
IMG20250104211035_BURST039.jpg,364.00128,97.501184,436.50048,645.500928,502.35458189978
IMG20250104211035_BURST040.jpg,366.999552,106.999808,441.00095999999996,651.001856,505.7981526166291
IMG20250104211035_BURST041.jpg,374.00064000000003,114.499584,442.500096,663.498752,512.6759727000828
IMG20250104211035_BURST042.jpg,362.00140799999997,113.000448,447.501312,670.498816,505.2008544845337
IMG20250104211035_BURST043.jpg,376.000512,136.998912,442.500096,681.00096,505.0145830465121
IMG20250104211035_BURST045.jpg,380.998656,154.001408,447.501312,698.998784,496.8356015288326
IMG20250104211035_BURST046.jpg,385.99987200000004,167.501824,451.99871999999993,704.0,503.8938836778588
IMG20250104211035_BURST047.jpg,387.99974399999996,171.999232,454.499328,713.498624,494.20152934168743
IMG20250104211035_BURST048.jpg,389.49888000000004,187.998208,459.500544,722.501632,500.8462516557804
IMG20250104213759_BURST000_COVER.jpg,395.498496,225.501184,467.50003200000003,755.99872,493.7318307913057
IMG20250104213759_BURST002.jpg,403.00032,241.000448,472.50124800000003,772.001792,495.4156430648551
IMG20250104213759_BURST003.jpg,410.999808,255.000576,476.00025600000004,777.498624,491.9875294541367
IMG20250104213759_BURST005.jpg,412.99968,274.00192,477.49939199999994,795.500544,490.7594095418274
IMG20250104213759_BURST007.jpg,417.50016,291.500032,483.99974399999996,816.500736,487.8497096280798
