Object,Epoch,PSNR,SSIM,FID,Inception_Score,LPIPS,Confidence
Aldebaran,0,6.987567382180131,0.00221931245482835,2015.9957275390625,1.1060153,0.5501973628997803,0.2109106481075287
Aldebaran,0,6.220815292742012,0.003744459560319593,1853.110595703125,1.2463605,0.5515841841697693,0.21775561571121216
Aldebaran,0,7.221458087484246,0.0031981468321319434,1963.8231201171875,1.1026118,0.566916823387146,0.21159911155700684
Aldebaran,0,7.461257375018052,0.004855921924918072,2083.338134765625,1.0409884,0.5260463953018188,0.21356169879436493
Aldebaran,0,7.606556006996731,0.0057398953409312945,1925.4620361328125,1.1399962,0.5361713767051697,0.2123228758573532
Aldebaran,0,7.6065085561961885,0.005409946631759761,1921.039306640625,1.233136,0.5392529964447021,0.21677149832248688
Aldebaran,0,7.829419236072413,0.006060386666380873,1856.739990234375,1.3155955,0.5137718915939331,0.2216765433549881
Aldebaran,0,7.382071426631983,0.004469877478229026,1852.624267578125,1.1802508,0.5148661136627197,0.2226671427488327
Aldebaran,0,6.652769735945623,0.00044646813937819334,2008.1297607421875,1.2188331,0.5598604679107666,0.21664725244045258
Aldebaran,0,7.380806234098511,0.004658180759005921,2121.90087890625,1.0576357,0.5413128137588501,0.21201013028621674
Aldebaran,0,7.343015137611641,0.004217797898749999,2231.28564453125,1.0548005,0.5515299439430237,0.21130305528640747
Object,Epoch,PSNR,SSIM,FID,Inception_Score,LPIPS,Confidence
Aldebaran,1,8.803822877687564,0.006610464391940247,1691.551025390625,1.2044988,0.4621126651763916,0.27253296971321106
Aldebaran,1,9.100502287044353,0.009783773707165497,1741.9140625,1.2046778,0.47545668482780457,0.2754986584186554
Aldebaran,1,8.392608830976663,0.005196057388203387,1753.075439453125,1.1410811,0.5001329183578491,0.2549600601196289
Aldebaran,1,9.022931512536438,0.007648861560979714,1905.30322265625,1.2735064,0.5040450096130371,0.26938962936401367
Aldebaran,1,6.812355997137636,0.003807187055945232,1989.163818359375,1.3055222,0.5055121183395386,0.2621796429157257
Aldebaran,1,8.351476286330788,0.004589818413825665,1722.70361328125,1.1308383,0.5167185664176941,0.26011186838150024
Aldebaran,1,8.815531931441008,0.008276313932562956,1949.6357421875,1.2716571,0.4988674819469452,0.2633420526981354
Aldebaran,1,8.659168263622467,0.0063554594089659236,1705.100830078125,1.2479758,0.5077464580535889,0.26702049374580383
Aldebaran,1,8.398599218464373,0.00471702982335021,1737.825927734375,1.3089336,0.48789387941360474,0.25849640369415283
Aldebaran,1,8.76260157607379,0.007819881538469223,1861.665283203125,1.3365668,0.4880914092063904,0.2725938558578491
Aldebaran,1,8.40204634098292,0.004904628811516038,1867.667724609375,1.1760881,0.4727028012275696,0.26637354493141174
Object,Epoch,PSNR,SSIM,FID,Inception_Score,LPIPS,Confidence
Aldebaran,2,10.144853195086952,0.013316947246247254,1481.7197265625,1.1001785,0.4350031018257141,0.33432212471961975
Aldebaran,2,9.063187997574342,0.003500797180684291,1640.20556640625,1.1222652,0.4610890746116638,0.3382502794265747
Aldebaran,2,10.167966564469676,0.013112082250937938,1687.91064453125,1.1250882,0.43558982014656067,0.3376643657684326
Aldebaran,2,9.804503621045347,0.011366647380027104,1571.5980224609375,1.2037182,0.4376995265483856,0.3357483148574829
Aldebaran,2,9.888001690023565,0.010985412119284905,1718.3299560546875,1.244074,0.45699143409729004,0.33412352204322815
Aldebaran,2,9.41258589904757,0.007510747414479844,1806.3173828125,1.2193663,0.4443499445915222,0.33616140484809875
Aldebaran,2,9.324051824045785,0.005569452666123788,1722.2662353515625,1.2194592,0.467754065990448,0.3383401930332184
Aldebaran,2,7.598863042741599,0.0062245921154280084,1793.51708984375,1.2306571,0.4535388648509979,0.33750927448272705
Aldebaran,2,9.680775904695015,0.009899613213434945,1799.5675048828125,1.2888566,0.4416990876197815,0.333869993686676
Aldebaran,2,10.085602203382253,0.013318904743234682,1515.1943359375,1.1548519,0.4479033648967743,0.33832842111587524
Aldebaran,2,9.32527932785057,0.005625210522796524,2046.516845703125,1.067465,0.43697136640548706,0.33479082584381104
Object,Epoch,PSNR,SSIM,FID,Inception_Score,LPIPS,Confidence
Aldebaran,3,11.474711359457299,0.0223539121509147,1645.2109375,1.1257641,0.4310763478279114,0.3293974697589874
Aldebaran,3,8.373525984003606,0.0050668137141019875,1486.5654296875,1.1837765,0.4571530520915985,0.3302064538002014
Aldebaran,3,10.600064500760027,0.011288201475635895,1403.25439453125,1.1477067,0.42430251836776733,0.3288648724555969
Aldebaran,3,11.959905485236732,0.027478955696968597,1521.7353515625,1.1384959,0.44383466243743896,0.32836583256721497
Aldebaran,3,10.777465785470167,0.014681479322776244,1565.3050537109375,1.0783,0.42859140038490295,0.3260190188884735
Aldebaran,3,10.596172650033866,0.013156216328882066,1480.947265625,1.0957755,0.4383224844932556,0.3249596059322357
Aldebaran,3,10.267476466404524,0.00825300766832605,1510.006591796875,1.163932,0.4443814158439636,0.3216124475002289
Aldebaran,3,10.188091232908526,0.005944885438413848,1754.030029296875,1.1151762,0.4672742187976837,0.3234821856021881
Aldebaran,3,11.240156254117112,0.02100020162892092,1581.239013671875,1.20474,0.4277614951133728,0.3229007422924042
Aldebaran,3,10.197402055955283,0.005823837634570039,1630.626708984375,1.0870845,0.4496806561946869,0.3205932378768921
Aldebaran,3,12.046005815126868,0.031405166455965174,1571.9586181640625,1.2094305,0.42066338658332825,0.32876500487327576
Object,Epoch,PSNR,SSIM,FID,Inception_Score,LPIPS,Confidence
